,Id,PostId,RecruitPostId,RecruitPostName,CountryName,LocationName,BGName,ComName,ProductName,CategoryName,Responsibility,LastUpdateTime,PostURL,SourceID,IsCollect,IsValid,RequireWorkYearsName
0,0,1622531642809655296,94858,魔方市场高级赛事经理,中国,深圳,IEG,,,营销与公关,"1.负责魔方射击游戏电竞赛事规划及落地，根据产品和市场特性，制定赛事目标、策略与计划，并落地执行；
2.与项目研发及各版块人员保持密切协作关系，挖掘探索调优赛事模式与赛事价值，驱动呈现优质的赛事内容与赛事用户价值最大化；
3.通过赛事数据、用户反馈与市场状态做持续追踪与分析，快速迭代优化电竞策略，并沉淀经验与方法；
4.整合赛事策划与营销策略、赛事生态等各版块，协调各种资源达成目标，实现项目效果最大化。",2023年08月02日,http://careers.tencent.com/jobdesc.html?postId=1622531642809655296,1,False,True,五年以上工作经验
1,0,1632582382156521472,95490,用户体验运营管理研究员,中国,深圳,PCG,,,设计,"1.负责业务NPS评价体系搭建，例行化数据和洞察报告输出，围绕产品心智形成具体专项分析，提炼产品关键机会和问题，推动并追踪落地；
2.通过数据分析挖掘用户习惯、需求，洞察产品潜在优化点和机会点；
3.主动规划和执行用研洞察专项全流程，包括但不限于用户使用体验、用户需求挖掘、产品增长与流失分析、人群画像分析等多种研究类型，推动业务优化。",2023年08月02日,http://careers.tencent.com/jobdesc.html?postId=1632582382156521472,1,False,True,两年以上工作经验
2,0,1622486089283411968,94848,《Arena Breakout》手游海外本地化运营,中国,深圳,IEG,,,产品,"1.负责游戏全球版语言本地化支持工作，包括游戏内外等各类内容素材翻译或者审核；游戏本地化语言测试，保证本地化内容包括但不限于文字、视觉、产品及活动包装等在游戏内外呈现的质量；
2.与研发、发行、运营等多部门协作，制定本地化方案、推进需求、解决过程中的各类问题，包括不限于TEP及LQA相关的本地化问题，确保各类需求准时高质高效交付；
3.定期输出海外本土游戏和用户洞察报告，并且能够反哺到各类游戏线上、社区活动、宣传内容的创意更加本土化；
4.基于海外本土用户的游戏体验和舆情，参与到区域运营包括版本、活动、营销等方面的决策，并对运营结果负责。",2023年08月02日,http://careers.tencent.com/jobdesc.html?postId=1622486089283411968,1,False,True,三年以上工作经验
3,0,1415988363420246016,80853,UE4射击手游3D特效设计,中国,深圳,IEG,,,设计,"1.配合产品美术负责人制定游戏特效风格，输出特效设计模版和规范；
2.参与具体特效设计任务，审核外包提交的特效资源，指导外包制作；
3.根据特效设计流程，参与审核；
4.积累和共享特效设计经验，编写课件并培养新人，分享设计经验。",2023年08月02日,http://careers.tencent.com/jobdesc.html?postId=1415988363420246016,1,False,True,三年以上工作经验
4,0,1405721551751356416,79340,《洛克王国》开放世界手游关卡策划,中国,深圳,IEG,,,产品,"1.重点负责洛克王国手游的开放世界场景搭建的相关工作；
2.协助并参与开放世界场景中关卡元素的设计工作；
3.持续关注自身游戏与品类最新发展，积极了解用户需求并主动提出可行性建议。",2023年08月02日,http://careers.tencent.com/jobdesc.html?postId=1405721551751356416,1,False,True,三年以上工作经验
5,0,1600431310252285952,94164,腾讯地图众包产品经理,中国,武汉,CSIG,腾讯云智研发子公司,,产品,"1.负责地图众包采集业务流程设计，协同运营，研发，测试、数据团队，规划设计从客户端到后台数据全流程产品落地，为采集效率、质量及成本负责；
2.持续挖掘各业务需求，搭建数据看板，通过数据分析发现业务痛点，并提出相应改进措施和产品创新方式；
3.负责用户运营能力建设，结合众包用户特征，不断优化迭代用户激活、召回及管控产品方案并落地验证。",2023年08月02日,http://careers.tencent.com/jobdesc.html?postId=1600431310252285952,1,False,True,两年以上工作经验
6,0,1600431312143917056,94166,腾讯地图驾车导航策略产品,中国,武汉,CSIG,腾讯云智研发子公司,,产品,"1.负责驾车导航产品设计，优化驾车导航行前算路、行中伴随、偏航路线的产品策略；
2.负责车载导航需求如巡航、新能源算路、停车场推荐等功能的优化；能分析客户相关问题并提出合理解决方案，和研发配合完成功能优化和交付；
3.分析处理驾车导航相关用户反馈。",2023年08月02日,http://careers.tencent.com/jobdesc.html?postId=1600431312143917056,1,False,True,两年以上工作经验
7,0,1600431311187615744,94165,腾讯地图公交步骑行导航策略产品,中国,武汉,CSIG,腾讯云智研发子公司,,产品,"1.负责腾讯地图公交、步行骑行导航产品设计，优化公交、步骑行产品策略，提升用户体验；
2.通过数据分析、评测等手段发现产品不足并制定优化策略，和数据、端配合共同优化公交步骑行产品；
3.分析处理公交、步骑行相关用户反馈。",2023年08月02日,http://careers.tencent.com/jobdesc.html?postId=1600431311187615744,1,False,True,两年以上工作经验
8,0,1600431309270818816,94163,腾讯地图策略产品经理,中国,武汉,CSIG,腾讯云智研发子公司,,产品,"1.负责地图采集策略制定，基于业务目标，协同运营、研发、测试团队，制定高质量采集方式并推动落地执行；
2.参与成本支出日常监控，定位无效支出原因，迭代策略提升有效率，降低无效支出，并寻找新的提效增长点；
3.持续挖掘业务需求，搭建数据看板，通过数据分析发现业务痛点，并提出相应改进措施和产品优化；
4.输出完整产品需求与设计分析文档、产品原型图、功能逻辑图、数据分析方案等。",2023年08月02日,http://careers.tencent.com/jobdesc.html?postId=1600431309270818816,1,False,True,两年以上工作经验
9,0,1600431302819979264,94157,腾讯云LBS产品运营,中国,武汉,CSIG,腾讯云智研发子公司,,产品,"1.支持腾讯云旗下地图产品在文旅、政务、教育、零售、地产、金融等行业的产品建设牵引、解决方案梳理、项目对接交付等工作；
2.为腾讯云地图及LBS能力在企业客户方向的广泛应用和商业收入负责。",2023年08月02日,http://careers.tencent.com/jobdesc.html?postId=1600431302819979264,1,False,True,两年以上工作经验
